experiment_id,model_id,form_id,answer_run_id,trial_id,run_started_utc,run_completed_utc,task_mode,stop_reason,success,submit_success,question_total,scored_correctness,scored_correctness_source,verified_count,verified_correctness,action_count,trace_action_count,duration_s,source_summary_path,source_summary_sha256,source_annotations_path,source_annotations_sha256
qwen3vl_direct_mcp_fill_only_50_r2_20260727,vlm_qwen3_vl_30b_a3b_instruct,usability_test,run_0002,trial_20260729T115119961420Z,2026-07-29T11:51:20Z,2026-07-29T12:34:10Z,fill_only_done,max_steps_exceeded,False,False,7,6,final_verification,6,6,128,128,2568.697,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/usability_test/run_0002/trial_20260729T115119961420Z/summary.json,b78f221a82ac642ad7632f32804e70034702b7d014e337589c31c58dd6113229,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/usability_test/run_0002/trial_20260729T115119961420Z/annotations.json,4e4a305b08e3297f7fff1f7c765a22069f5c1ed58192e406ad7598b8a51d01ac
qwen3vl_direct_mcp_fill_only_50_r2_20260727,vlm_qwen3_vl_30b_a3b_instruct,volunteer_shift,run_0002,trial_20260807T145908227307Z,2026-08-07T14:59:08Z,2026-08-07T15:02:44Z,fill_only_done,filled_without_submit,True,False,7,7,final_verification,7,7,10,10,216.181,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/volunteer_shift/run_0002/trial_20260807T145908227307Z/summary.json,4f21c6628da0a1a22e5781162b845d94f5302d3d82d6542ceb7ccf89842551d8,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/volunteer_shift/run_0002/trial_20260807T145908227307Z/annotations.json,af21628ca57d60747f1290b36fe9e89da4a51d7a2bd7910059c0f007dc46cf40
qwen3vl_direct_mcp_fill_only_50_r2_20260727,vlm_qwen3_vl_30b_a3b_instruct,wellbeing_check,run_0002,trial_20260807T150244880347Z,2026-08-07T15:02:44Z,2026-08-07T15:15:34Z,fill_only_done,max_steps_exceeded,False,False,7,4,final_verification,4,4,128,128,769.028,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/wellbeing_check/run_0002/trial_20260807T150244880347Z/summary.json,337659ddcf88c0419877a8c747e6d6e542dac954c2fcddbad92eb478d35d64f7,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/wellbeing_check/run_0002/trial_20260807T150244880347Z/annotations.json,0a6d7e208760b2d16ecceaf1507f65e6f35264889d26201ca299a5cda527a745
qwen3vl_direct_mcp_fill_only_50_r2_20260727,vlm_qwen3_vl_30b_a3b_instruct,workshop_signup,run_0002,trial_20260807T151534100939Z,2026-08-07T15:15:34Z,2026-08-07T15:18:15Z,fill_only_done,filled_without_submit,True,False,7,7,final_verification,7,7,8,8,161.254,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/workshop_signup/run_0002/trial_20260807T151534100939Z/summary.json,e922be11afe696e2c2b1c9f24e6d25d2c5bbed48eaa80e23f30cdcd6927b83ce,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/workshop_signup/run_0002/trial_20260807T151534100939Z/annotations.json,81d7a78ee1aef5498cfc9213878f9bef6e576151a67819f9d95239af1a30e580
