condition_id,condition_label,task_mode,trials,fields,non_dropdown_field_accuracy,non_dropdown_accuracy_ci_low,non_dropdown_accuracy_ci_high,all_field_accuracy_lower,all_field_accuracy_upper,full_fill_rate_lower,full_fill_rate_upper,full_fill_lower_ci_low,full_fill_lower_ci_high,submit_success_rate,submit_success_ci_low,submit_success_ci_high,median_duration_s,median_model_action_decisions,median_normalized_model_actions
formfactory_style_fill_only,FormFactory-style visual (fill-only),fill_only_done,50,409,0.3411458333333333,0.31887755102040816,0.36363636363636365,0.3374083129584352,0.3374083129584352,0,0,0.0,0.0,0,0.0,0.0,71.7955,10.0,7.0
direct_mcp_submit,Direct MCP (submit-enabled),fill_and_submit,50,409,0.6380208333333334,0.5577889447236181,0.7211796246648794,0.6405867970660146,0.6405867970660146,0.26,0.26,0.14,0.38,0.64,0.5,0.76,227.9915,15.0,16.0
formfactory_style_submit,FormFactory-style visual (submit-enabled),fill_and_submit,50,409,0.2864583333333333,0.25745257452574527,0.3168831168831169,0.28361858190709044,0.28361858190709044,0,0,0.0,0.0,0,0.0,0.0,68.49,10.0,7.0
